change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
display|vt.陈列,展览,显示n.陈列,展览,显示显示,显示器
specify|vt.指定,详细说明,列入清单
result|n.结果,成效,计算结果vi.起因,由于,以...为结果,导致
return|n.回来,返回,来回票,利润,回答adj.返回的,回程的,报答的,反向的,重现的vi.回返,归还vt.归还,回报,报告,获得,回答,返回
match|n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配
wait|v.(～for)等待,等候n.等待,等待时间
number|n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入
integer|n.整数
operator|n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子
expression|n.表达,表情,脸色,声调,腔调,榨出,语法,措辞n.[数]式,表达式,符号
example|n.例子,实例,例题,范例,榜样,鉴戒,实例
set|v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整n.一套,一副,一批,接受机,装置,趋势,布景adj.固定的,规定的,坚决的,固执的,事先做好的
see|v.看,看见,了解,领会,注意,留心,经历,阅历
value|n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视
argument|n.争论,辩论,论据,论点,～(for,against),意见
flag|n.旗,标记v.标记
add|vt.增加,添加,计算...总和,补充说,又说vi.加,加起来,增添,做加法
resource|n.资源,财力,办法,智谋
two|num.二,两个
system|n.系统,体系,制度,体制,秩序,规律,方法
metric|adj.米制的,公制的
sort|n.种类,类别v.分类,拣选
pattern|n.模范,式样,模式,样品,格调,图案vt.模仿,仿造,以图案装饰vi.形成图案
variable|n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的
recording|adj.记录的,记录用的n.录音带,唱片
enclose|vt.放入封套,装入,围绕
device|n.装置,设计,图案,策略,发明物,设备[计]安装设备驱动程序
shell|n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳[计]设定命令行解释器的位置
file|n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉
describe|vt.描写,记述,形容,形容v.描述
exit|n.出口,太平门,退场,去世vi.退出,脱离,去世[计]离开当前命令行外壳
start|n.动身,出发点,开始,惊起,惊跳,赛跑的先跑权,优先地位v.出发,起程,开始,着手,惊动,惊起,起动,发动
character|n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征
command|n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临
process|n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理
class|n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)
program|n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序(电脑)程序,(电视)节目
contain|vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽
treat|n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东
parameter|n.参数,参量,<口>起限定作用的因素
total|n.总数,合计adj.总的,全部的,整个的v.合计,总数达,达到
need|n.需要,必需,必需品,要求,贫困vt.需要modalv.必要,必须
mountain|n.山,山脉
gb|null
username|null
over|adv.结束,越过,从头到尾prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西
free|adj.自由的,大方的,免费的,免税的,丰富的,空闲的vt.释放,使自由adv.自由地,免费
time|n.时间,时侯,时机,节拍,期限,次数,时期,比赛限时vt.安排...的时间,记录...的时间,计时,定时vi.打拍子,(...)合拍adj.时间的,记时的,定时的,定期的,分期的n.DOS命令：显示并允许改变系统时间
shr|null
fi|null
substr|null
these|adj.pron.这些
firmware|null
aix|null
host|n.主人,旅馆招待许多vt.当主人招待主机
moving|vbl.移动
ibm|null
answer|n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应
shown|vbl.show的过去分词
physb|null
wide|adj.宽的,广阔的,张大的,远离目标的adv.广阔地,广大地,远离目标地
bit|n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制vbl.咬n.[计]位,比特
view|n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看
each|adj.各自的,每个的,每一pron.各,各自,每个adv.每个
bin|n.箱柜[计]二进制文件的扩展名
korn|null
go|vi.离去,走,进行,变成,趋于,达到,求助于,诉诸vt.以...打赌,忍受,出产n.去,进行
before|adv.在前,以前prep.在...之前conj.在...之前,与其...宁可
behavior|n.举止,行为
full-screen|null
indicate|vt.指出,显示,象征,预示,需要,简要地说明
startposition|null
ec|null
ed|null
execution|n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力
de|null
dd|null
dg|null
consider|vt.考虑,照顾,认为
write|vt.书写,著述,写,写满,写信给vi.写,写字,写信,写作,作曲
domain|n.领土,领地,(活动、学问等的)范围,领域
usually|adv.通常,大抵
current|adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流
do|v.做,实行,尽力,给予,可用,制作,算出,解答[域]DominicanRepublic,多米尼加共和国
look|n.看,注视,脸色,面容,外表vi.看,注意,朝着,好象,显得vt.打量,注视,用眼神(或脸色)表示,期待
install|vt.安装,安置,使就职
define|vt.定义,详细说明
keyboard|n.[计]键盘
may|aux.可能,也许,可以,祝,愿n.(May)五月,能,可能
lsparent|null
fd|null
entc|null
i|n.angleofincidence入射角阿adj.不真的,伪造的,假的n.英文字母
-bit|n.小块,少量,片刻,马嚼子,辅币vt.上马嚼子,控制vbl.咬n.[计]位,比特
volume|n.卷,册,体积,量,大量,音量
configuration|n.构造,结构,配置,外形
precede|v.领先(于),在...之前,先于
physical|adj.身体的,物质的,自然的,物理的n.体格检查
client|n.[计]顾客,客户,委托人
gateway|n.门,通路,网关
root|n.根,根部,根本,根源v.(使)生根,(使)扎根,使立定不动,坚定不移,确立
tool|n.工具,用具,爪牙,走狗,手段vt.用工具加工,使用设备vi.使用工具
by|prep.在附近,在旁边,经,由,依据,按照,通过,用adv.通过,经过,附近[域]Belarus,白俄罗斯
enough|adj.足够的,充足的,只够做...的n.充足,足够,很多adv.足够地,充分地int.够了!
same|adj.同一的,相同的,无变化的,上述的,所谓pron.同样的事物adv.同样地
echo|n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射[计]禁止(或允许)在屏幕上显示批处理命令行
has|vbl.have的第三人称单数现在式
close|v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地
terminal|n.终点站,终端,接线端adj.末期,每期的,每学期的
description|n.描写,记述,形容,种类,描述
bl|null
optional|adj.可选择的,随意的
any|adj.任何的,任何一种,所有的pron.无论那一个,任何
key|n.钥匙,关键,解答,(打字机等的)键,调子,对译本,(开钟表、发条的)栓,要害vt.调节...的音调,锁上,插上栓,提供线索vi.使用钥匙n.[乐]键,调,基调
be|prep.是,在,存在[域]Belgium,比利时abbr.[军]BaseEjection,弹底喷射
pci|null
execute|vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效
monitor|n.班长,监听器,监视器,监控器vt.监控v.监控
keywords|null
double|n.两倍,[计]双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力
and|[连接并列的名词、代词或数词]同,和,与
sign|n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署
maximum|n.最大量,最大限度,极大adj.最高的,最多的,最大极限的
mdt|null
column|n.圆柱,柱壮物,专栏,纵队
active|adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的n.[语法]主动语态,积极分子
make|vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情
room|n.房间,屋子,寓所,场所,地位,空间,机会,余地
cd|null
does|v.做,有用,工作conj.是,做,要
understanding|n.谅解,理解
response|n.回答,响应,反应
scsi|null
following|n.下列各项,部下,党羽adj.下列的,其次的prep.在...之后
kbps|null
generally|adv.一般,通常,一般地
name|n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的
built-in|adj.内置的,固定的,嵌入的n.内置
mem|null
disable|v.使残废,使失去能力,丧失能力
lsconn|null
redirect|vt.(信件)重寄,使改道,使改变方向
fda|null
activity|n.活跃,活动性,行动,行为,[核]放射性
all|adj.全部的,所有的,整个的adv.完全,更加,越发pron.全部
passe|adj.已过盛年的,凋谢的
sample|n.标本,样品,例子vt.取样,采样,抽取...的样品,试验的一部分,尝试
five|num.五,五个(人或物)n.五个一组,<口>五厘息金的证券
audio|adj.音频的,声频的,声音的
speed|n.迅速,速度,速率v.加快,速飞,飞跑
depend|vi.依靠,依赖
at|prep.在,于,向,对准,在...方面[域]Austria,奥地利
as|adv.同样地,被看作,象prep.当做conj.与...一样,当...之时,象,因为[域]AmericanSamoa,东萨摩亚abbr.[军]AirtoSurface,空对地
equal|adj.相等的,均等的,胜任的,平静的,合适的,不相上下的n.相等的事物(或数量),对手,匹敌,同辈vt.等于,比得上
finished|adj.完成的,完结的,完美的,精巧的
memory|n.记忆,记忆力,回忆,存储(器),存储器存储器,内存
main|n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计]主群组
neither|adj.pron.两者都不conj.既不...又不,也不
message|n.消息,通讯,讯息,音讯,差使,广告词,预言,教训vt.通知vi.带信息
therefore|adv.因此,所以
entire|adj.全部的,完整的,整个
which|pron.哪个,哪几个,...的,...那个adj.哪个
sec|null
take|v.拿,拿走,取,抓,占领,获得,接受,感受n.捕获量
an|null
off|adj.远的,空闲的,不工作的adv.离开,在远方,离去,分离,中断,完成prep.从...离开,脱离
ac|null
ecp|null
manager|n.经理,管理人员,管理器
enclosed|adj.被附上的
configured|null
no|n.否定,投反对票者adj.没有,不许,反对adv.不,并不,毫不[域]Norway,挪威
otherwise|adv.另外,否则,不同地,别的方式adj.另外的,其他方面的
fixed|adj.固定的,确定的,准备好的,固执的,不易发挥的,<美口>(在经济上)处境...的
of|prep....的,由...制成的,离,关于,对于
help|n.帮忙,补救办法,助手,治疗,<美>佣工vt.帮助,助长,接济,治疗,款待vi.有用,救命,招待[计]显示命令格式的简短概述
given|adj.赠予的,沉溺的,特定的,假设的vbl.give的过去分词
button|n.钮扣,[计]按钮v.扣住,扣紧
hdisk|null
report|n.报告,传说,谣言,声誉,名声,爆炸声v.报导,汇报,报到,告发
only|adj.唯一的,单独的,最好的,最合适的adv.仅仅,只不过conj.但是,可是
on|prep.在...之上,依附于,临近,靠近,向,在...时候,关于,涉及adv.在上,向前,行动中,作用中
os|null
screen|n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影
ros|null
support|vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱
rom|null
idir|null
or|conj.或,或者,还是abbr.[军]OperationalRequirement,作战需求abbr.[军]OperationsResearch,运筹学研究
siokma|null
row|n.排,行v.划(船)
include|vt.包括,包含
pressing|adj.紧迫的v.挤压
